都道府県名,年,国籍,年間訪問者数,第1四半期,第2四半期,第3四半期,第4四半期
北海道,2012,韓国,122959,24814,19812,43638,34695
北海道,2012,中国,130759,47062,26481,53278,3938
北海道,2012,台湾,198314,50390,42427,56114,49383
北海道,2012,香港,65495,22262,10410,22589,10234
北海道,2012,タイ,9308,902,2179,3495,2732
北海道,2012,シンガポール,21678,4282,9396,2946,5054
北海道,2012,マレーシア,15471,4663,4666,1850,4292
北海道,2012,インド,474,0,139,118,217
北海道,2012,英国,5284,2669,815,1033,767
北海道,2012,フランス,2427,324,720,678,705
北海道,2012,ドイツ,4216,658,284,1081,2193
北海道,2012,ロシア,2370,581,710,545,534
北海道,2012,カナダ,5748,3063,846,767,1072
北海道,2012,米国,18486,5623,4447,5764,2652
北海道,2012,オーストラリア,26976,22053,1165,1712,2046
北海道,2013,韓国,162079,40284,35268,64641,21886
北海道,2013,中国,92343,19775,10537,47095,14936
北海道,2013,台湾,251953,58864,61279,72027,59783
北海道,2013,香港,85449,24475,9863,31336,19775
北海道,2013,タイ,60391,12538,11036,6920,29897
北海道,2013,シンガポール,33994,5409,7164,9169,12252
北海道,2013,マレーシア,28490,3933,4792,6763,13002
北海道,2013,インド,625,106,0,189,330
北海道,2013,英国,4642,2686,267,703,986
北海道,2013,フランス,2883,756,1020,825,282
北海道,2013,ドイツ,2423,755,1101,336,231
北海道,2013,ロシア,2538,1072,309,256,901
北海道,2013,カナダ,6403,1616,1396,2300,1091
北海道,2013,米国,15781,5673,4016,3526,2566
北海道,2013,オーストラリア,32532,27476,2237,1290,1529
北海道,2014,韓国,147387,34460,24769,61848,26310
北海道,2014,中国,190131,63815,31555,61721,33040
北海道,2014,台湾,321136,83501,67379,85641,84615
北海道,2014,香港,122399,38439,19851,35305,28804
北海道,2014,ベトナム,2337,1713,624,0,0
北海道,2014,タイ,83316,18846,27949,16702,19819
北海道,2014,シンガポール,22472,4896,10716,1833,5027
北海道,2014,マレーシア,23640,4325,9588,2833,6894
北海道,2014,フィリピン,1564,0,781,0,783
北海道,2014,インドネシア,5824,1709,2165,1950,0
北海道,2014,インド,1077,195,305,288,289
北海道,2014,英国,7249,1988,899,3434,928
北海道,2014,フランス,4661,273,719,2229,1440
北海道,2014,ドイツ,4630,813,742,2469,606
北海道,2014,ロシア,10869,2120,2732,3239,2778
北海道,2014,カナダ,11152,3668,1420,3609,2455
北海道,2014,米国,24478,5824,6535,7279,4840
北海道,2014,オーストラリア,31712,22664,3603,2072,3373
北海道,2015,韓国,235171,51398,37949,86171,59653
北海道,2015,中国,400004,113243,62798,144218,79745
北海道,2015,台湾,486556,113595,104423,140825,127713
北海道,2015,香港,150853,44242,27568,45794,33249
北海道,2015,ベトナム,0,0,0,0,0
北海道,2015,タイ,102949,26141,23994,25381,27433
北海道,2015,シンガポール,33554,5014,11960,8724,7856
北海道,2015,マレーシア,21624,2214,4523,10139,4748
北海道,2015,フィリピン,4997,3174,875,505,443
北海道,2015,インドネシア,11459,700,3338,5452,1969
北海道,2015,インド,430,123,161,0,146
北海道,2015,英国,8879,3035,1500,3060,1284
北海道,2015,フランス,6545,3411,442,2692,0
北海道,2015,ドイツ,4009,1132,681,1429,767
北海道,2015,スペイン,281,140,141,0,0
北海道,2015,イタリア,2326,953,0,1088,285
北海道,2015,ロシア,6248,1985,1601,1270,1392
北海道,2015,カナダ,12757,6032,1775,2850,2100
北海道,2015,米国,43766,14066,6657,12755,10288
北海道,2015,オーストラリア,37156,27164,1803,6392,1797
北海道,2016,韓国,294956,74066,46480,104529,69881
北海道,2016,中国,468428,189883,65907,129124,83514
北海道,2016,台湾,499422,136221,112221,131312,119668
北海道,2016,香港,185865,56950,33107,53175,42633
北海道,2016,ベトナム,1998,1049,0,949,0
